model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
KNN,f1,0.08676377932230632,0.016612331442372227,0.080351988474528,0.009808235756651231,3,1,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8700440528634361,0.8675496688741722,0.8609271523178808,0.866173624685163,0.003847041469056997,1,0.8761682242990654,0.8723897911832946,0.8613636363636363,0.8699738839486654,0.006280733068106676,5,0.984251968503937,0.9868766404199475,0.994750656167979,0.9886264216972878,0.004461084438838811,7,0.927070457354759,0.9261083743842364,0.9232643118148599,0.9254810478512852,0.0016159290211169562,1,True
KNN,f1,0.10010997454325359,0.007705742219732528,0.08305708567301433,0.008188342375401142,3,1,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8678414096916299,0.8675496688741722,0.8609271523178808,0.865439410294561,0.0031928704130952247,2,0.8758782201405152,0.8723897911832946,0.8613636363636363,0.8698772158958153,0.006186170677969117,6,0.9816272965879265,0.9868766404199475,0.994750656167979,0.9877515310586177,0.005393188104084848,8,0.9257425742574258,0.9261083743842364,0.9232643118148599,0.9250384201521741,0.0012633415288008537,2,True
KNN,f1,0.09427849451700847,0.008987159174540535,0.07887887954711914,0.007080275088956173,6,1,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8678414096916299,0.8631346578366446,0.8609271523178808,0.8639677399487184,0.0028835462092944163,3,0.8741258741258742,0.8666666666666667,0.8581081081081081,0.8663002163002164,0.00654435743997728,7,0.984251968503937,0.989501312335958,1.0,0.9912510936132982,0.006547082041599193,6,0.9259259259259259,0.9240196078431373,0.9236363636363636,0.9245272991351422,0.0010012780850592057,3,True
KNN,f1,0.08966366449991862,0.012838178949856496,0.07555890083312988,0.009820397769947706,6,1,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8656387665198237,0.8675496688741722,0.8565121412803532,0.8632335255581164,0.004816336222274131,4,0.8703703703703703,0.8672768878718535,0.8542600896860987,0.8639691159761075,0.006980511066162209,8,0.9868766404199475,0.994750656167979,1.0,0.9938757655293088,0.005393188104084848,5,0.9249692496924969,0.9266503667481663,0.9214026602176542,0.9243407588861059,0.002187975697287866,4,True
KNN,f1,0.09706338246663411,0.015945681775967006,0.07336537043253581,0.012318739870650406,15,1,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8612334801762115,0.8609271523178808,0.847682119205298,0.8566142505664635,0.006317208622961742,5,0.8581081081081081,0.8581081081081081,0.8466666666666667,0.8542942942942943,0.005393547219861351,13,1.0,1.0,1.0,1.0,0.0,1,0.9236363636363636,0.9236363636363636,0.9169675090252708,0.9214134120993327,0.0031437282121672583,5,True
KNN,f1,0.09297267595926921,0.01044944147184855,0.08197363217671712,0.005489438199644487,15,1,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8612334801762115,0.8609271523178808,0.847682119205298,0.8566142505664635,0.006317208622961742,5,0.8581081081081081,0.8581081081081081,0.8466666666666667,0.8542942942942943,0.005393547219861351,13,1.0,1.0,1.0,1.0,0.0,1,0.9236363636363636,0.9236363636363636,0.9169675090252708,0.9214134120993327,0.0031437282121672583,5,True
KNN,f1,0.0967555046081543,0.01823723265140593,0.048200368881225586,0.0037380556509321603,15,2,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8546255506607929,0.8587196467991169,0.8454746136865342,0.8529399370488147,0.005537068747693015,7,0.8539325842696629,0.8561797752808988,0.844789356984479,0.8516339055116803,0.004926009220870685,15,0.9973753280839895,1.0,1.0,0.9991251093613299,0.0012372822068005885,3,0.9200968523002422,0.9225181598062954,0.9158653846153846,0.919493465573974,0.00274929216239101,7,True
KNN,f1,0.09654617309570312,0.014075414053397076,0.06429473559061687,0.008579382767922207,15,2,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8546255506607929,0.8587196467991169,0.8454746136865342,0.8529399370488147,0.005537068747693015,7,0.8539325842696629,0.8561797752808988,0.844789356984479,0.8516339055116803,0.004926009220870685,15,0.9973753280839895,1.0,1.0,0.9991251093613299,0.0012372822068005885,3,0.9200968523002422,0.9225181598062954,0.9158653846153846,0.919493465573974,0.00274929216239101,7,True
KNN,f1,0.08559950192769368,0.009306153185500514,0.06342371304829915,0.00531986882712963,6,2,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8480176211453745,0.8653421633554084,0.8410596026490066,0.8514731290499298,0.010209998033752835,9,0.8644859813084113,0.8636363636363636,0.8519362186788155,0.8600195212078635,0.005726272631724098,12,0.9711286089238845,0.9973753280839895,0.9816272965879265,0.9833770778652667,0.010786376208169702,9,0.9147095179233622,0.925700365408039,0.9121951219512195,0.9175350017608735,0.00586432260333734,9,True
KNN,f1,0.09247748057047527,0.00891761762143974,0.05315081278483073,0.001980318977664277,6,2,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8458149779735683,0.8631346578366446,0.8432671081677704,0.8507389146593277,0.008826616823574827,10,0.8658823529411764,0.8649885583524027,0.8555045871559633,0.8621251661498475,0.004695655215368458,11,0.9658792650918635,0.9921259842519685,0.979002624671916,0.979002624671916,0.010715178227397992,10,0.913151364764268,0.9242053789731052,0.9130966952264382,0.9168178129879371,0.005223845682923692,10,True
