model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
Random Forest,f1,0.3539284070332845,0.04314202837247711,0.0892949899037679,0.006609226604847033,,100,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.9118942731277533,0.9315673289183223,0.8984547461368654,0.9139721160609803,0.013597765945332838,1,0.9128329297820823,0.928921568627451,0.9016786570743405,0.9144777184946246,0.011182517751810363,1,0.989501312335958,0.994750656167979,0.9868766404199475,0.9903762029746281,0.003273541020799596,9,0.9496221662468514,0.9607097591888466,0.9423558897243107,0.9508959383866696,0.007546875851566589,1,False
Random Forest,f1,0.4018450578053792,0.00445914885831725,0.10493906339009602,0.025677844124459358,100,100,"{'classifier__max_depth': 100, 'classifier__n_estimators': 100}",0.9118942731277533,0.9315673289183223,0.8984547461368654,0.9139721160609803,0.013597765945332838,1,0.9128329297820823,0.928921568627451,0.9016786570743405,0.9144777184946246,0.011182517751810363,1,0.989501312335958,0.994750656167979,0.9868766404199475,0.9903762029746281,0.003273541020799596,9,0.9496221662468514,0.9607097591888466,0.9423558897243107,0.9508959383866696,0.007546875851566589,1,False
Random Forest,f1,1.6072925726572673,0.010347222622250891,0.10412319501241048,0.0036628675241727484,10,500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.9118942731277533,0.9315673289183223,0.8940397350993378,0.9125004457151378,0.015326570792036153,5,0.9108433734939759,0.926829268292683,0.8954869358669834,0.9110531925512141,0.012796313753013681,6,0.9921259842519685,0.9973753280839895,0.989501312335958,0.9930008748906388,0.003273541020799636,1,0.949748743718593,0.9608091024020228,0.940149625935162,0.9502358240185925,0.00844122532121093,3,False
Random Forest,f1,2.671290636062622,0.02396177441785324,0.26905043919881183,0.015954655301618523,10,1000,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.9096916299559471,0.9315673289183223,0.8962472406181016,0.9125020664974569,0.014555664980784113,3,0.9106280193236715,0.926829268292683,0.8957345971563981,0.9110639615909175,0.012698088504802734,4,0.989501312335958,0.9973753280839895,0.9921259842519685,0.9930008748906386,0.003273541020799636,2,0.9484276729559749,0.9608091024020228,0.9414694894146949,0.9502354215908975,0.007998171623156714,4,False
Random Forest,f1,4.116321802139282,0.05157388047345364,0.2646927833557129,0.020701672972194735,10,1500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.9096916299559471,0.9315673289183223,0.8962472406181016,0.9125020664974569,0.014555664980784113,3,0.9106280193236715,0.926829268292683,0.8957345971563981,0.9110639615909175,0.012698088504802734,4,0.989501312335958,0.9973753280839895,0.9921259842519685,0.9930008748906386,0.003273541020799636,2,0.9484276729559749,0.9608091024020228,0.9414694894146949,0.9502354215908975,0.007998171623156714,4,False
Random Forest,f1,0.3996267318725586,0.010463085468845123,0.08757789929707845,0.006172301220690928,10,100,"{'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.9096916299559471,0.9337748344370861,0.891832229580574,0.9117662313245357,0.017185720888115055,6,0.9106280193236715,0.9290953545232273,0.8952380952380953,0.9116538230283314,0.013841187485316802,3,0.989501312335958,0.9973753280839895,0.9868766404199475,0.9912510936132982,0.0044610844388388625,4,0.9484276729559749,0.9620253164556962,0.9388264669163545,0.9497598187760086,0.009517619252440133,6,False
Random Forest,f1,4.3437018394470215,0.06581269060169916,0.3117118676503499,0.020389306738254447,,1500,"{'classifier__max_depth': None, 'classifier__n_estimators': 1500}",0.9096916299559471,0.9315673289183223,0.891832229580574,0.9110303961516144,0.016249384625069717,7,0.9106280193236715,0.926829268292683,0.8952380952380953,0.9108984609514832,0.012898460056579547,7,0.989501312335958,0.9973753280839895,0.9868766404199475,0.9912510936132982,0.0044610844388388625,4,0.9484276729559749,0.9608091024020228,0.9388264669163545,0.9493544140914508,0.008998266595038463,7,False
Random Forest,f1,1.4777581691741943,0.019851219067735973,0.16389973958333334,0.0037747264638724417,,500,"{'classifier__max_depth': None, 'classifier__n_estimators': 500}",0.9096916299559471,0.9315673289183223,0.891832229580574,0.9110303961516144,0.016249384625069717,7,0.9106280193236715,0.926829268292683,0.8952380952380953,0.9108984609514832,0.012898460056579547,7,0.989501312335958,0.9973753280839895,0.9868766404199475,0.9912510936132982,0.0044610844388388625,4,0.9484276729559749,0.9608091024020228,0.9388264669163545,0.9493544140914508,0.008998266595038463,7,False
Random Forest,f1,3.8827226956685386,0.014371467910261096,0.19739166895548502,0.009395988348946725,100,1500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1500}",0.9096916299559471,0.9315673289183223,0.891832229580574,0.9110303961516144,0.016249384625069717,7,0.9106280193236715,0.926829268292683,0.8952380952380953,0.9108984609514832,0.012898460056579547,7,0.989501312335958,0.9973753280839895,0.9868766404199475,0.9912510936132982,0.0044610844388388625,4,0.9484276729559749,0.9608091024020228,0.9388264669163545,0.9493544140914508,0.008998266595038463,7,False
Random Forest,f1,1.3801788489023845,0.02394333426818559,0.12554121017456055,0.004941605791777857,100,500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 500}",0.9096916299559471,0.9315673289183223,0.891832229580574,0.9110303961516144,0.016249384625069717,7,0.9106280193236715,0.926829268292683,0.8952380952380953,0.9108984609514832,0.012898460056579547,7,0.989501312335958,0.9973753280839895,0.9868766404199475,0.9912510936132982,0.0044610844388388625,4,0.9484276729559749,0.9608091024020228,0.9388264669163545,0.9493544140914508,0.008998266595038463,7,False
Random Forest,f1,2.8712443510691323,0.011068048975872078,0.2528568108876546,0.001746855039769781,,1000,"{'classifier__max_depth': None, 'classifier__n_estimators': 1000}",0.9096916299559471,0.9315673289183223,0.8896247240618101,0.9102945609786932,0.017128303475067636,11,0.9106280193236715,0.926829268292683,0.8949880668257757,0.9108151181473767,0.012999789285251726,11,0.989501312335958,0.9973753280839895,0.984251968503937,0.9903762029746281,0.005393188104084854,9,0.9484276729559749,0.9608091024020228,0.9375,0.9489122584526659,0.009522068438621882,11,False
Random Forest,f1,2.9480831623077393,0.20288592787761833,0.25530433654785156,0.025048948283145533,100,1000,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1000}",0.9096916299559471,0.9315673289183223,0.8896247240618101,0.9102945609786932,0.017128303475067636,11,0.9106280193236715,0.926829268292683,0.8949880668257757,0.9108151181473767,0.012999789285251726,11,0.989501312335958,0.9973753280839895,0.984251968503937,0.9903762029746281,0.005393188104084854,9,0.9484276729559749,0.9608091024020228,0.9375,0.9489122584526659,0.009522068438621882,11,False
