model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
XGBoost,f1,0.10613274574279785,0.008225447615560905,0.0179442564646403,0.00028369268558119446,0.05,10,100,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.9008810572687225,0.9315673289183223,0.8874172185430463,0.9066218682433638,0.018475673095942186,3,0.9117647058823529,0.9331683168316832,0.8966346153846154,0.9138558793662171,0.014987941603404244,45,0.9763779527559056,0.989501312335958,0.979002624671916,0.9816272965879266,0.0056699393686857535,1,0.9429657794676806,0.9605095541401274,0.9360100376411543,0.946495123749654,0.010308533050063849,1,False
XGBoost,f1,0.11240466435750325,0.0032545631344840288,0.01978413263956706,0.0008397679841888703,0.05,20,100,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8942731277533039,0.9359823399558499,0.8896247240618101,0.9066267305903213,0.020844116118398256,1,0.9090909090909091,0.9356435643564357,0.8987951807228916,0.9145098847234121,0.015523633955584353,42,0.9711286089238845,0.9921259842519685,0.979002624671916,0.9807524059492563,0.008660975447604257,2,0.9390862944162437,0.9630573248407643,0.9371859296482412,0.9464431829684165,0.011773561601564321,2,False
XGBoost,f1,0.16715145111083984,0.008869329409657017,0.020098765691121418,0.002062320675540598,0.2,15,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8964757709251101,0.9293598233995585,0.8940397350993378,0.9066251098080021,0.016106602563414476,2,0.9154228855721394,0.9395465994962217,0.9012048192771084,0.9187247681151565,0.015826135532479333,5,0.9658792650918635,0.979002624671916,0.9816272965879265,0.9755030621172353,0.006888895777788105,7,0.9399744572158365,0.9588688946015425,0.9396984924623115,0.9461806147598969,0.008972676046057095,3,False
XGBoost,f1,0.12477850914001465,0.016645691473232395,0.021590550740559895,0.0042355911835824855,0.05,15,100,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.8920704845814978,0.9359823399558499,0.8896247240618101,0.9058925161997192,0.021300133902336024,6,0.9088669950738916,0.9356435643564357,0.8987951807228916,0.9144352467177397,0.015550024949135897,43,0.968503937007874,0.9921259842519685,0.979002624671916,0.9798775153105862,0.009663482954669548,4,0.9377382465057179,0.9630573248407643,0.9371859296482412,0.9459938336649077,0.012067817030133307,4,False
XGBoost,f1,0.24899633725484213,0.010917420823400942,0.01822352409362793,0.00027043527016511556,0.2,20,1000,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 1000}",0.8920704845814978,0.9315673289183223,0.8940397350993378,0.9058925161997192,0.01817262580553521,6,0.9108910891089109,0.9396984924623115,0.9012048192771084,0.9172648002827769,0.01634847320941021,16,0.9658792650918635,0.9816272965879265,0.9816272965879265,0.9763779527559056,0.007423693240803635,5,0.9375796178343949,0.9602053915275995,0.9396984924623115,0.9458278339414354,0.01020320306014434,5,False
XGBoost,f1,0.37452054023742676,0.0514387701442542,0.018726030985514324,0.0003747391161738292,0.2,20,1500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9315673289183223,0.8962472406181016,0.9058941369820386,0.018339552370273654,4,0.9106699751861043,0.9396984924623115,0.9014423076923077,0.9172702584469078,0.016300444219535873,15,0.963254593175853,0.9816272965879265,0.984251968503937,0.9763779527559056,0.009341275811051002,5,0.9362244897959183,0.9602053915275995,0.9410288582183187,0.9458195798472788,0.010359670916934818,6,False
XGBoost,f1,0.40215253829956055,0.07372592651159793,0.026355663935343426,0.005281033642338735,0.2,15,1500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9315673289183223,0.8962472406181016,0.9058941369820386,0.018339552370273654,4,0.912718204488778,0.9396984924623115,0.9014423076923077,0.917953001547799,0.016050674824360074,9,0.9606299212598425,0.9816272965879265,0.984251968503937,0.9755030621172353,0.010571343808919154,7,0.9360613810741688,0.9602053915275995,0.9410288582183187,0.9457652102733624,0.010410189985004441,7,False
XGBoost,f1,0.2918252944946289,0.02729723876064835,0.021196842193603516,0.0011644946742930735,0.1,10,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8942731277533039,0.9315673289183223,0.8896247240618101,0.9051550602444788,0.01877245973217582,10,0.913151364764268,0.9396984924623115,0.8987951807228916,0.9172150126498236,0.01694412687661773,17,0.9658792650918635,0.9816272965879265,0.979002624671916,0.9755030621172353,0.006888895777788105,7,0.9387755102040817,0.9602053915275995,0.9371859296482412,0.9453889437933075,0.010496889513347365,8,False
XGBoost,f1,0.2534739176432292,0.013381590272760998,0.01851050059000651,0.0006075315014177286,0.2,15,1000,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8898678414096917,0.9315673289183223,0.8940397350993378,0.9051583018091173,0.01875151031926891,8,0.912718204488778,0.9396984924623115,0.9012048192771084,0.9178738387427327,0.016132289406502295,10,0.9606299212598425,0.9816272965879265,0.9816272965879265,0.9746281714785651,0.009898257654404864,12,0.9360613810741688,0.9602053915275995,0.9396984924623115,0.94532175502136,0.0106285502789998,9,False
XGBoost,f1,0.34274959564208984,0.021645677545182564,0.021207332611083984,0.00039493963864433476,0.05,10,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8898678414096917,0.9315673289183223,0.8940397350993378,0.9051583018091173,0.01875151031926891,8,0.912718204488778,0.9375,0.9051094890510949,0.918442564513291,0.01382901594837142,6,0.9606299212598425,0.984251968503937,0.9763779527559056,0.9737532808398951,0.009820623062398828,13,0.9360613810741688,0.9603072983354674,0.9393939393939394,0.9452542062678585,0.010730740012866424,10,False
