model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
KNN,f1_macro,0.02675350507100423,0.0012770556165991823,0.9002583026885986,0.03488123491408562,6,1,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.4810648668916385,0.48893888263967006,0.47861965491372843,0.48287446814834567,0.004402848149865998,3,0.36923673421032255,0.32950884537729547,0.38508143616614526,0.3612756719179211,0.023375373028950226,4,0.31477421198470473,0.30913414286699215,0.3104246889878911,0.3114443479465293,0.0024127955027439573,2,0.3225582575786207,0.3109318816172892,0.3187301064728248,0.3174067485562449,0.004837810222961621,1,True
KNN,f1_macro,0.02276150385538737,0.00014293378854917857,0.8625072638193766,0.05487625189312678,15,1,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.51106111736033,0.5219347581552306,0.5213803450862715,0.5181254068672774,0.005000332198379974,1,0.42873614082803607,0.36724949210469277,0.35563858942341914,0.38387474078538264,0.03207399960101369,1,0.3135688917474856,0.31835329521471384,0.3156711813970297,0.315864456119743,0.0019579999103058136,1,0.3162678381893422,0.3209099535456726,0.3126922808649176,0.3166233575333108,0.0033642563888580707,2,True
KNN,f1_macro,0.02733755111694336,0.0002429477911885762,0.9432655175526937,0.016147931123091024,3,1,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.44169478815148105,0.45106861642294716,0.44561140285071266,0.4461249358083803,0.003844038777960184,8,0.3222285377111568,0.32850994307014947,0.3382366686991394,0.32965838316014856,0.006585552389503352,9,0.2967054248628916,0.3014315873361597,0.3050127441459658,0.30104991878167237,0.003402170050800665,4,0.30298070420858225,0.30724451211397946,0.3129332987773106,0.30771950503329076,0.00407698813402059,3,True
KNN,f1_macro,0.02431186040242513,0.003617510245456022,0.8931522369384766,0.048115802644909805,15,1,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.5069366329208849,0.5155605549306337,0.5153788447111778,0.5126253441875654,0.004023210290113075,2,0.36422010659387344,0.37416401691962226,0.3528258200673408,0.3637366478602788,0.008717987553978847,2,0.3048673770085751,0.31237005637631243,0.31053966452486576,0.30925903263658444,0.003194011370124846,3,0.30038154259085703,0.31132698996205566,0.30324270756977434,0.30498374670756234,0.004634948219660561,4,True
KNN,f1_macro,0.02122020721435547,0.0004631744672071841,0.08010180791219075,0.002300444366096865,6,2,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.4454443194600675,0.4544431946006749,0.4628657164291073,0.4542510768299499,0.0071135527933932,7,0.3327583751429997,0.41760282843086804,0.3146857665763189,0.3550156567167289,0.04486661968161833,5,0.288998561314583,0.3022254962598979,0.2958577943181925,0.29569395063089116,0.005401116278282945,5,0.29611209554742274,0.31732062194074145,0.29882508983266465,0.3040859357736096,0.00942365014046369,5,True
KNN,f1_macro,0.030576308568318684,0.004175023506685146,1.0015925566355388,0.012737192718806604,2,1,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.41732283464566927,0.42744656917885265,0.4118529632408102,0.4188741223551107,0.006459876505828684,13,0.30185379345176927,0.3127641754174894,0.31280866965608356,0.30914221284178073,0.00515372278635153,12,0.2898072692795423,0.2936006855408861,0.2861356458291782,0.28984786688320224,0.0030477248999224607,7,0.29385406423939064,0.29874927172046023,0.29218492615448766,0.2949294207047795,0.0027856718905997255,6,True
KNN,f1_macro,0.022890408833821613,0.005707192033843408,0.10174075762430827,0.016971730360414824,3,2,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.4236970378702662,0.42744656917885265,0.4197299324831208,0.42362451317741323,0.003150721118176382,11,0.30705167577010384,0.33742342571510414,0.2885244812536957,0.3109998609129679,0.02015717931328235,10,0.28679522187647427,0.2942342974437275,0.27444054193145867,0.2851566870838868,0.008163405601412427,8,0.29191701614157106,0.3058447532539237,0.2768616936903107,0.2915411543619351,0.01183526902876955,7,True
KNN,f1_macro,0.026959657669067383,0.002385153724963852,0.8635770479838053,0.04334855922073221,6,1,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.4701912260967379,0.4780652418447694,0.46399099774943736,0.4707491552303149,0.00575931421856906,4,0.36160918826654603,0.334063553521303,0.3945485113005298,0.36340708436279295,0.024725585293623648,3,0.29699527027824774,0.29818111834993083,0.29072241084957184,0.2952995998259168,0.003272568115528332,6,0.2949533890394275,0.2939071301513219,0.2857605425413739,0.29154035391070776,0.004109203411371918,8,True
KNN,f1_macro,0.02898248036702474,0.002412292087439872,0.12589478492736816,0.016819322889996137,2,2,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.395575553055868,0.4263217097862767,0.3975993998499625,0.4064988875640358,0.014041182276964652,14,0.2816722901886175,0.3390188175542881,0.28727683745718424,0.3026559817333633,0.025814009235633394,15,0.27057867645553885,0.30247453201661667,0.27347024970545164,0.2821744860592024,0.014402758957221862,10,0.2735418175953655,0.3131308846165443,0.2770900494469697,0.2879209172196265,0.017884897342607793,9,True
KNN,f1_macro,0.024745941162109375,0.002726032750083497,0.09031510353088379,0.004873894031238848,15,2,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.4675665541807274,0.4705661792275965,0.46586646661665415,0.4679997333416594,0.0019429458382332716,5,0.30940225739181637,0.3714163909980905,0.3141653455595254,0.3316613313164774,0.0281782461003733,8,0.28141036500513356,0.2878379404747958,0.2834739592734517,0.28424075491779366,0.002679479212420109,9,0.2804483579727108,0.2913590143891205,0.2819909545101614,0.2845994422906642,0.004821048449940464,10,True
