model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
Random Forest Kaggle,f1_macro,5.440843939781189,0.20649230480194092,0.1522989273071289,0.006294965744018555,11,980,"{'classifier__max_depth': 11, 'classifier__n_estimators': 980}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.957333924627263,0.9664257451670966,0.00909182053983354,1,0.9500233206256541,0.9566137248345168,0.9533185227300854,0.0032952021044313495,1,0.960840062842121,0.9569384794677089,0.958889271154915,0.0019507916872060216,1,False
Random Forest Kaggle,f1_macro,5.748491287231445,0.3216981887817383,0.14518964290618896,0.00010120868682861328,11,975,"{'classifier__max_depth': 11, 'classifier__n_estimators': 975}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.957333924627263,0.9664257451670966,0.00909182053983354,1,0.9500233206256541,0.9566137248345168,0.9533185227300854,0.0032952021044313495,1,0.960840062842121,0.9569384794677089,0.958889271154915,0.0019507916872060216,1,False
Random Forest Kaggle,f1_macro,6.019531846046448,0.17463195323944092,0.14570224285125732,0.002948164939880371,10,975,"{'classifier__max_depth': 10, 'classifier__n_estimators': 975}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.9521975368597769,0.9638575512833535,0.011660014423576559,3,0.9500233206256541,0.954875903269109,0.9524496119473815,0.0024262913217274473,3,0.960840062842121,0.9534408857267024,0.9571404742844116,0.003699588557709299,3,False
Random Forest Kaggle,f1_macro,5.521925330162048,0.09849059581756592,0.14596104621887207,0.001318216323852539,10,980,"{'classifier__max_depth': 10, 'classifier__n_estimators': 980}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.9521975368597769,0.9638575512833535,0.011660014423576559,3,0.9500233206256541,0.954875903269109,0.9524496119473815,0.0024262913217274473,3,0.960840062842121,0.9534408857267024,0.9571404742844116,0.003699588557709299,3,False
Random Forest Kaggle,f1_macro,5.946099758148193,0.1280994415283203,0.14350605010986328,0.0077936649322509766,10,1010,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1010}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.9521975368597769,0.9638575512833535,0.011660014423576559,3,0.9500233206256541,0.954875903269109,0.9524496119473815,0.0024262913217274473,3,0.960840062842121,0.9534408857267024,0.9571404742844116,0.003699588557709299,3,False
Random Forest Kaggle,f1_macro,5.494423508644104,0.15960443019866943,0.14561676979064941,0.005686521530151367,10,990,"{'classifier__max_depth': 10, 'classifier__n_estimators': 990}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.9521975368597769,0.9638575512833535,0.011660014423576559,3,0.9500233206256541,0.954875903269109,0.9524496119473815,0.0024262913217274473,3,0.960840062842121,0.9534408857267024,0.9571404742844116,0.003699588557709299,3,False
Random Forest Kaggle,f1_macro,5.471559643745422,0.07362258434295654,0.15217483043670654,0.005264878273010254,10,1000,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.98875,0.98725,0.988,0.0007500000000000284,8,0.97551756570693,0.9519995594488702,0.9637585625779002,0.011759003129029943,7,0.9500233206256541,0.9547518953326011,0.9523876079791276,0.002364287353473493,8,0.960840062842121,0.9532811075065799,0.9570605851743504,0.0037794776677705366,7,False
Random Forest Kaggle,f1_macro,5.432743668556213,0.020073533058166504,0.14720582962036133,0.0014755725860595703,11,1010,"{'classifier__max_depth': 11, 'classifier__n_estimators': 1010}",0.98875,0.9875,0.988125,0.0006249999999999867,1,0.97551756570693,0.9517492457581836,0.9636334057325568,0.011884159974373198,8,0.9500233206256541,0.954825561009316,0.9524244408174851,0.0024011201918309744,7,0.960840062842121,0.9532013560460746,0.9570207094440978,0.0038193533980231953,8,False
Random Forest Kaggle,f1_macro,5.568313717842102,0.24943697452545166,0.148276686668396,0.008823275566101074,11,990,"{'classifier__max_depth': 11, 'classifier__n_estimators': 990}",0.98875,0.98725,0.988,0.0007500000000000284,8,0.97551756570693,0.9516273438015637,0.9635724547542468,0.011945110952683191,9,0.9500233206256541,0.9546295978503897,0.9523264592380218,0.0023031386123678055,9,0.960840062842121,0.9530412133084886,0.9569406380753047,0.0038994247668162063,9,False
Random Forest Kaggle,f1_macro,5.4688509702682495,0.08000361919403076,0.15141940116882324,0.003214120864868164,11,1000,"{'classifier__max_depth': 11, 'classifier__n_estimators': 1000}",0.98875,0.987,0.9878750000000001,0.0008750000000000147,10,0.97551756570693,0.9514293663906569,0.9634734660487935,0.012044099658136576,10,0.9500233206256541,0.9545055899138818,0.9522644552697679,0.0022411346441138513,10,0.960840062842121,0.952881435088366,0.9568607489652434,0.003979313876877499,10,False
