model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,prep_name,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__learning_rate
KNN,f1,0.0031402111053466797,0.0006245548708899264,0.010545094807942709,0.0019179769306823238,6,1,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9186046511627907,0.9176470588235294,0.9294117647058824,0.9218878248974008,0.005334572676000288,1,0.8787878787878788,0.9615384615384616,0.9310344827586207,0.9237869410283204,0.03416928330376662,5,0.90625,0.8064516129032258,0.8709677419354839,0.8612231182795699,0.04132108246747616,3,0.8923076923076922,0.8771929824561403,0.9,0.8898335582546109,0.009473859361279117,1,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.002926349639892578,0.0004874810927571479,0.011263132095336914,0.0017580020014254416,15,1,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8837209302325582,0.9294117647058824,0.9294117647058824,0.9141814865481077,0.02153886592943976,2,0.84375,0.9629629629629629,0.9629629629629629,0.9232253086419752,0.056197529677634535,6,0.84375,0.8387096774193549,0.8387096774193549,0.8403897849462366,0.002376030850761233,4,0.84375,0.896551724137931,0.896551724137931,0.8789511494252874,0.02489097146418164,2,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.002853234608968099,7.349490911417116e-05,0.014252980550130209,0.001971401534309539,15,2,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8953488372093024,0.9294117647058824,0.9176470588235294,0.9141358869129047,0.014126028069932621,3,0.8709677419354839,0.9629629629629629,0.9615384615384616,0.9318230554789695,0.043035134413128506,3,0.84375,0.8387096774193549,0.8064516129032258,0.8296370967741936,0.016523240394011113,7,0.8571428571428571,0.896551724137931,0.8771929824561403,0.8769625212456429,0.016089427869173705,3,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.00308378537495931,0.0002483760441286616,0.012421925862630209,0.00035608043380089835,15,1,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.872093023255814,0.9294117647058824,0.9294117647058824,0.9103055175558596,0.027020313845614555,4,0.8181818181818182,0.9629629629629629,0.9629629629629629,0.914702581369248,0.06825048617513249,10,0.84375,0.8387096774193549,0.8387096774193549,0.8403897849462366,0.002376030850761233,4,0.8307692307692308,0.896551724137931,0.896551724137931,0.8746242263483643,0.031010164762911355,4,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.0030229886372884116,0.000640566147709091,0.009653250376383463,0.0011820458510490817,6,2,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8837209302325582,0.9176470588235294,0.9294117647058824,0.9102599179206567,0.019370776559142724,5,0.84375,0.9615384615384616,0.9310344827586207,0.9121076480990274,0.04991458851927691,11,0.84375,0.8064516129032258,0.8709677419354839,0.8403897849462365,0.02644555426068685,6,0.84375,0.8771929824561403,0.9,0.8736476608187135,0.023100398324626438,5,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.002538919448852539,9.015123213269405e-05,0.007857720057169596,0.0010567896518667902,15,2,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8953488372093024,0.9176470588235294,0.9176470588235294,0.9102143182854537,0.01051148247454691,6,0.8709677419354839,0.9615384615384616,0.9285714285714286,0.9203592106817914,0.037428547076177564,7,0.84375,0.8064516129032258,0.8387096774193549,0.8296370967741935,0.016523240394011113,8,0.8571428571428571,0.8771929824561403,0.8813559322033899,0.8718972572674625,0.010570455049405304,6,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.0033454100290934243,7.447679802669085e-05,0.01197353998819987,0.0005571270460707614,6,1,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8953488372093024,0.9058823529411765,0.9176470588235294,0.9062927496580028,0.009107835121043913,8,0.8709677419354839,0.96,0.9615384615384616,0.9308354011579819,0.04233748679017361,4,0.84375,0.7741935483870968,0.8064516129032258,0.8081317204301075,0.02842114308305176,13,0.8571428571428571,0.8571428571428571,0.8771929824561403,0.8638262322472848,0.009451719715108404,7,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.00459742546081543,0.0009316186580487259,0.11183667182922363,0.011633440075782913,2,1,uniform,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9069767441860465,0.9058823529411765,0.9176470588235294,0.9101687186502508,0.005306825910068813,7,0.9615384615384616,1.0,0.9615384615384616,0.9743589743589745,0.01813094310734736,1,0.78125,0.7419354838709677,0.8064516129032258,0.7765456989247311,0.026547825557935036,15,0.8620689655172413,0.8518518518518519,0.8771929824561403,0.8637045999417445,0.01040992155122109,8,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.004929304122924805,0.0023983719384182097,0.07947421073913574,0.016299605070377088,2,1,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9069767441860465,0.8705882352941177,0.9176470588235294,0.8984040127678977,0.020145338765561672,12,0.8333333333333334,0.8333333333333334,0.9,0.8555555555555556,0.03142696805273544,15,0.9375,0.8064516129032258,0.8709677419354839,0.8716397849462365,0.05350239042337406,1,0.8823529411764706,0.819672131147541,0.8852459016393444,0.8624236579877853,0.03025295677493397,9,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
KNN,f1,0.0028826395670572915,0.0003479409292976006,0.011212428410847982,0.0007523140842005236,6,2,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8953488372093024,0.9058823529411765,0.9058823529411765,0.9023711810305518,0.004965546935828908,10,0.8709677419354839,0.96,0.9259259259259259,0.9189645559538033,0.03667906985310311,8,0.84375,0.7741935483870968,0.8064516129032258,0.8081317204301075,0.02842114308305176,13,0.8571428571428571,0.8571428571428571,0.8620689655172414,0.8587848932676518,0.0023221897575913387,10,Outlier-Quantile: None + Correlation-Threshold: None + Scaling: False,,,
